timesteps,reward,best_reward
timesteps,reward,best_reward
timesteps,reward,best_reward
197000 , 705.7 , 1353.0
198000 , 879.65 , 2350.0
199000 , 787.9 , 1583.0
200000 , 863.8 , 1686.0
201000 , 751.7 , 1435.0
202000 , 973.3 , 3045.0
203000 , 889.25 , 1702.0
204000 , 891.5 , 2356.0
205000 , 847.2 , 1570.0
206000 , 894.2 , 2597.0
207000 , 766.35 , 1848.0
208000 , 844.85 , 1410.0
209000 , 977.25 , 1705.0
210000 , 979.6 , 1702.0
211000 , 753.65 , 1422.0
212000 , 809.05 , 1690.0
213000 , 1082.45 , 1852.0
214000 , 938.4 , 1699.0
215000 , 858.15 , 1857.0
216000 , 769.35 , 1705.0
217000 , 871.9 , 1921.0
218000 , 821.0 , 1432.0
219000 , 782.55 , 1438.0
220000 , 891.75 , 1582.0
221000 , 843.8 , 1558.0
222000 , 972.25 , 1583.0
223000 , 899.85 , 2352.0
224000 , 855.2 , 1690.0
225000 , 792.15 , 1580.0
226000 , 821.4 , 1424.0
227000 , 1029.4 , 2336.0
228000 , 565.6 , 1576.0
229000 , 981.5 , 1692.0
230000 , 817.5 , 1694.0
231000 , 732.8 , 1588.0
232000 , 1095.65 , 2346.0
233000 , 871.1 , 1861.0
234000 , 911.8 , 1581.0
235000 , 854.15 , 1693.0
236000 , 1068.3 , 2343.0
237000 , 1009.5 , 1583.0
238000 , 763.2 , 1569.0
239000 , 900.9 , 1921.0
240000 , 902.05 , 1920.0
241000 , 760.1 , 2347.0
242000 , 867.1 , 1344.0
243000 , 1125.35 , 1927.0
244000 , 1006.0 , 2364.0
245000 , 860.8 , 1583.0
246000 , 744.7 , 3045.0
247000 , 822.65 , 1345.0
248000 , 947.55 , 1838.0
249000 , 844.3 , 1860.0
250000 , 826.1 , 1914.0
251000 , 749.8 , 1703.0
252000 , 836.25 , 1847.0
253000 , 751.4 , 1434.0
254000 , 889.85 , 1585.0
255000 , 988.2 , 1583.0
256000 , 992.7 , 1707.0
257000 , 948.15 , 1586.0
258000 , 969.45 , 1868.0
259000 , 856.8 , 2634.0
260000 , 1010.5 , 2652.0
261000 , 836.8 , 1581.0
262000 , 901.7 , 1862.0
263000 , 917.75 , 1580.0
264000 , 993.65 , 2343.0
265000 , 871.0 , 1859.0
266000 , 786.45 , 1583.0
267000 , 920.0 , 2351.0
268000 , 987.8 , 1709.0
269000 , 1084.85 , 1932.0
270000 , 1042.55 , 3039.0
271000 , 854.05 , 2361.0
272000 , 1111.85 , 2350.0
273000 , 1112.0 , 2363.0
274000 , 1052.95 , 1699.0
275000 , 889.75 , 1867.0
276000 , 898.55 , 1706.0
277000 , 1027.55 , 2355.0
278000 , 869.1 , 1428.0
279000 , 1157.0 , 3036.0
280000 , 984.45 , 1861.0
281000 , 805.35 , 1928.0
282000 , 936.9 , 2368.0
283000 , 1073.05 , 3035.0
284000 , 973.3 , 2354.0
285000 , 931.25 , 3035.0
286000 , 1072.7 , 1930.0
287000 , 929.1 , 1858.0
288000 , 1075.2 , 1857.0
289000 , 1143.0 , 2367.0
290000 , 1086.2 , 1699.0
291000 , 1045.55 , 1694.0
292000 , 920.55 , 1711.0
293000 , 1315.5 , 2361.0
294000 , 1256.2 , 2630.0
295000 , 1234.0 , 2355.0
296000 , 1100.6 , 2350.0
297000 , 1280.7 , 1929.0
298000 , 1224.0 , 1909.0
299000 , 1014.7 , 1703.0
300000 , 1025.1 , 1929.0
301000 , 1317.6 , 3044.0
302000 , 953.45 , 1925.0
303000 , 1088.2 , 1709.0
304000 , 883.45 , 1707.0
305000 , 905.0 , 1705.0
306000 , 1129.55 , 3041.0
307000 , 1094.9 , 1932.0
308000 , 1016.15 , 1858.0
309000 , 1100.55 , 2642.0
310000 , 1040.6 , 1929.0
311000 , 849.6 , 1868.0
312000 , 1298.8 , 3046.0
313000 , 1272.8 , 3036.0
314000 , 1153.5 , 2361.0
315000 , 1388.4 , 3044.0
316000 , 1106.1 , 2353.0
317000 , 1132.5 , 2359.0
318000 , 1037.15 , 1700.0
319000 , 1379.0 , 2360.0
320000 , 1007.1 , 2636.0
321000 , 1122.65 , 2352.0
322000 , 1309.15 , 1868.0
323000 , 1194.95 , 2358.0
324000 , 1249.15 , 2361.0
325000 , 1067.2 , 1703.0
326000 , 1134.95 , 1864.0
327000 , 1111.35 , 2365.0
328000 , 1131.6 , 1916.0
329000 , 856.1 , 1703.0
330000 , 1197.25 , 1867.0
331000 , 1149.15 , 2350.0
332000 , 1375.35 , 2355.0
333000 , 1060.35 , 1847.0
334000 , 1328.35 , 3041.0
335000 , 1371.9 , 3031.0
336000 , 1460.35 , 3040.0
337000 , 1606.25 , 2346.0
338000 , 1341.6 , 2358.0
339000 , 1407.35 , 3051.0
340000 , 1348.7 , 3053.0
341000 , 1327.4 , 1909.0
342000 , 1369.3 , 2363.0
343000 , 1424.3 , 3041.0
344000 , 1185.8 , 2352.0
345000 , 1331.35 , 2634.0
346000 , 1427.85 , 3059.0
347000 , 1318.7 , 3029.0
348000 , 1460.5 , 2368.0
349000 , 1286.45 , 3033.0
350000 , 1206.6 , 1860.0
351000 , 1423.45 , 3041.0
352000 , 1442.7 , 1925.0
353000 , 1025.45 , 1925.0
354000 , 1052.8 , 1921.0
355000 , 1248.25 , 1861.0
356000 , 988.5 , 1857.0
357000 , 832.35 , 1695.0
358000 , 1031.95 , 1867.0
359000 , 1199.25 , 1866.0
360000 , 1127.55 , 2353.0
361000 , 1175.0 , 1933.0
362000 , 1332.7 , 2350.0
363000 , 1161.5 , 2367.0
364000 , 1113.95 , 1856.0
365000 , 1322.95 , 2632.0
366000 , 1241.75 , 3034.0
367000 , 1257.65 , 2612.0
368000 , 1277.0 , 2322.0
369000 , 1456.4 , 3039.0
370000 , 1474.95 , 3048.0
371000 , 1247.85 , 2361.0
372000 , 1196.7 , 2338.0
373000 , 1086.45 , 1865.0
374000 , 1337.05 , 2356.0
375000 , 1405.3 , 1932.0
376000 , 1282.25 , 2369.0
377000 , 1369.3 , 3045.0
378000 , 1093.6 , 1710.0
379000 , 1309.45 , 1925.0
380000 , 1355.3 , 2358.0
381000 , 1237.5 , 1864.0
382000 , 1459.25 , 2358.0
383000 , 1534.05 , 3052.0
384000 , 1206.45 , 3041.0
385000 , 1224.55 , 2633.0
386000 , 1281.25 , 3038.0
387000 , 1453.0 , 3042.0
388000 , 1258.75 , 2366.0
389000 , 1319.4 , 1929.0
390000 , 1223.05 , 3045.0
391000 , 1219.1 , 2604.0
392000 , 1295.45 , 3050.0
393000 , 1219.7 , 1860.0
394000 , 1064.7 , 1693.0
395000 , 1225.15 , 1867.0
396000 , 1317.0 , 3040.0
397000 , 1176.15 , 2370.0
398000 , 1012.4 , 1952.0
399000 , 1208.45 , 2369.0
400000 , 839.6 , 1869.0
401000 , 1086.25 , 3042.0
402000 , 810.55 , 1704.0
403000 , 1121.6 , 2359.0
404000 , 1516.3 , 3048.0
405000 , 1163.9 , 2359.0
406000 , 1079.45 , 1862.0
407000 , 1532.55 , 2640.0
408000 , 1312.45 , 3037.0
409000 , 1201.4 , 3026.0
410000 , 973.7 , 2636.0
411000 , 1089.7 , 2350.0
412000 , 1217.45 , 3033.0
413000 , 1156.85 , 1933.0
414000 , 1256.1 , 2361.0
415000 , 1591.6 , 2645.0
416000 , 1148.0 , 3023.0
417000 , 1185.85 , 1925.0
418000 , 1268.2 , 2374.0
419000 , 1299.0 , 3060.0
420000 , 1424.45 , 3039.0
421000 , 1120.95 , 3026.0
422000 , 1274.05 , 3037.0
423000 , 1039.05 , 1931.0
424000 , 1252.2 , 3036.0
425000 , 1087.3 , 1930.0
426000 , 1071.5 , 3036.0
427000 , 1041.3 , 1926.0
428000 , 898.85 , 2359.0
429000 , 1405.3 , 2637.0
430000 , 1409.8 , 3048.0
431000 , 1303.3 , 3003.0
432000 , 1149.85 , 3045.0
433000 , 1316.7 , 3042.0
434000 , 1233.15 , 2641.0
435000 , 1182.75 , 2342.0
436000 , 1163.5 , 2643.0
437000 , 1341.05 , 2364.0
438000 , 1237.2 , 3052.0
439000 , 1240.35 , 3043.0
440000 , 1019.85 , 2365.0
441000 , 1075.4 , 2334.0
442000 , 916.5 , 2371.0
443000 , 982.05 , 2658.0
444000 , 813.9 , 1863.0
445000 , 1086.25 , 2645.0
446000 , 1127.35 , 2642.0
447000 , 1117.75 , 1927.0
448000 , 1340.3 , 3049.0
449000 , 1255.85 , 2353.0
450000 , 1215.65 , 2354.0
451000 , 1485.8 , 2637.0
452000 , 1364.25 , 2368.0
453000 , 1234.7 , 2360.0
454000 , 1049.65 , 2361.0
455000 , 1181.65 , 1927.0
456000 , 1175.35 , 1932.0
457000 , 1370.7 , 3042.0
458000 , 1208.85 , 3028.0
459000 , 1480.4 , 2632.0
460000 , 1334.75 , 2622.0
461000 , 1245.9 , 1866.0
462000 , 1245.5 , 2358.0
463000 , 1354.5 , 2364.0
464000 , 1403.6 , 3045.0
465000 , 1339.9 , 3055.0
466000 , 1278.5 , 2350.0
467000 , 1432.1 , 3048.0
468000 , 1572.5 , 3038.0
469000 , 1618.85 , 3046.0
470000 , 1379.15 , 2636.0
471000 , 1167.7 , 2635.0
472000 , 1236.95 , 2616.0
473000 , 1560.15 , 3041.0
474000 , 1447.3 , 3048.0
475000 , 1294.5 , 3038.0
476000 , 1843.3 , 3057.0
477000 , 1489.3 , 3040.0
478000 , 1532.5 , 2650.0
479000 , 1388.65 , 2647.0
480000 , 1576.4 , 3053.0
481000 , 1525.35 , 2646.0
482000 , 1656.25 , 3063.0
483000 , 1779.25 , 3059.0
484000 , 1781.9 , 3051.0
485000 , 1509.7 , 3043.0
486000 , 1389.65 , 3045.0
487000 , 1736.9 , 3046.0
488000 , 1753.1 , 3029.0
489000 , 1736.25 , 3043.0
490000 , 1498.4 , 2365.0
491000 , 1551.0 , 2367.0
492000 , 1531.5 , 2367.0
493000 , 1488.4 , 3054.0
494000 , 1780.95 , 3050.0
495000 , 1349.6 , 3041.0
496000 , 1225.2 , 3044.0
497000 , 1369.25 , 2617.0
498000 , 1596.7 , 3051.0
499000 , 1444.4 , 2632.0
500000 , 1635.05 , 3041.0
501000 , 1377.75 , 1904.0
502000 , 1334.55 , 3049.0
503000 , 1585.35 , 3059.0
504000 , 1458.55 , 3037.0
505000 , 1201.95 , 2348.0
506000 , 1412.15 , 2652.0
507000 , 1483.85 , 3043.0
508000 , 1447.75 , 3048.0
509000 , 1334.2 , 3029.0
510000 , 1827.65 , 3048.0
