100000 , -127.3 , 0
200000 , 395.35 , 631.0
300000 , 442.4 , 1342.0
400000 , 790.9 , 1572.0
500000 , 635.0 , 1336.0
600000 , 735.8 , 1402.0
700000 , 722.25 , 1556.0
800000 , 563.85 , 1313.0
900000 , 579.3 , 1343.0
1000000 , 736.45 , 1689.0
1100000 , 886.2 , 1566.0
1200000 , 696.25 , 1575.0
1300000 , -206.0 , 0
1400000 , 1073.3 , 1920.0
1500000 , 745.35 , 1850.0
1600000 , 705.55 , 1676.0
1700000 , 869.2 , 2333.0
1800000 , 563.2 , 826.0
1900000 , 987.75 , 1904.0
2000000 , 908.7 , 1366.0
2100000 , 1432.4 , 2557.0
2200000 , 524.6 , 1321.0
2300000 , 850.75 , 1309.0
2400000 , 1050.35 , 1853.0
2500000 , 1138.2 , 1922.0
2600000 , 766.45 , 1432.0
2700000 , 817.45 , 1899.0
2800000 , 846.05 , 1420.0
2900000 , 662.25 , 1339.0
3000000 , 993.8 , 1918.0
3100000 , 794.6 , 1408.0
3200000 , 722.9 , 1678.0
3300000 , 867.1 , 1431.0
3400000 , 971.2 , 2977.0
3500000 , 556.5 , 2024.0
3600000 , 863.35 , 1407.0
3700000 , 805.75 , 1669.0
3800000 , 863.95 , 1908.0
3900000 , 492.65 , 1346.0
4000000 , 862.45 , 1572.0
4100000 , 1061.4 , 1343.0
4200000 , 1053.05 , 2544.0
4300000 , 768.4 , 1061.0
4400000 , 880.0 , 1352.0
4500000 , 679.9 , 1264.0
4600000 , 664.5 , 1329.0
4700000 , 865.9 , 2596.0
4800000 , 172.35 , 1470.0
4900000 , 933.25 , 1565.0
5000000 , 906.35 , 1348.0
