timesteps,reward,best_reward
200000 , 767.4 , 1580.0
201000 , 891.5 , 1692.0
202000 , 872.5 , 1697.0
203000 , 880.55 , 1563.0
204000 , 830.55 , 1430.0
205000 , 866.8 , 1585.0
206000 , 804.2 , 1685.0
207000 , 838.05 , 1354.0
208000 , 954.75 , 1584.0
209000 , 1027.3 , 1918.0
210000 , 1080.4 , 1921.0
211000 , 924.0 , 1918.0
212000 , 1012.3 , 1701.0
213000 , 852.6 , 1581.0
214000 , 860.95 , 1698.0
215000 , 951.5 , 1697.0
216000 , 851.25 , 1703.0
217000 , 982.7 , 1919.0
218000 , 1002.1 , 1848.0
219000 , 1009.95 , 1708.0
220000 , 810.25 , 1924.0
221000 , 1274.85 , 2360.0
222000 , 1048.4 , 1899.0
223000 , 1095.65 , 1919.0
224000 , 1031.7 , 2632.0
225000 , 939.5 , 1702.0
226000 , 924.0 , 1581.0
227000 , 948.15 , 1920.0
228000 , 977.25 , 2360.0
229000 , 1084.55 , 1586.0
230000 , 904.2 , 1704.0
231000 , 1163.75 , 1706.0
232000 , 1143.45 , 2354.0
233000 , 911.55 , 1917.0
234000 , 905.35 , 1862.0
235000 , 1143.85 , 2348.0
236000 , 1076.0 , 1703.0
237000 , 942.4 , 1697.0
238000 , 1032.4 , 2361.0
239000 , 936.65 , 1701.0
240000 , 918.3 , 1701.0
241000 , 1075.0 , 1702.0
242000 , 885.9 , 2346.0
243000 , 1180.35 , 1705.0
244000 , 1089.25 , 1574.0
245000 , 958.55 , 1699.0
246000 , 980.8 , 1925.0
247000 , 890.45 , 1709.0
248000 , 1064.0 , 1704.0
249000 , 848.95 , 1695.0
250000 , 949.65 , 1704.0
251000 , 1037.45 , 1703.0
252000 , 1015.75 , 1925.0
253000 , 967.05 , 2355.0
254000 , 898.75 , 1706.0
255000 , 1168.15 , 2357.0
256000 , 1082.1 , 1699.0
257000 , 1014.4 , 1582.0
258000 , 886.2 , 2351.0
259000 , 1016.2 , 1700.0
260000 , 1026.35 , 1917.0
261000 , 1099.45 , 1866.0
262000 , 1228.45 , 2615.0
263000 , 976.5 , 1903.0
264000 , 1075.65 , 1918.0
265000 , 1089.2 , 1837.0
266000 , 1067.7 , 1711.0
267000 , 1243.8 , 1927.0
268000 , 1045.35 , 2355.0
269000 , 858.95 , 1696.0
270000 , 1045.45 , 3042.0
271000 , 1034.0 , 1703.0
272000 , 1245.6 , 1920.0
273000 , 911.2 , 2364.0
274000 , 1142.05 , 1924.0
275000 , 1219.7 , 1922.0
276000 , 1091.15 , 1694.0
277000 , 1023.35 , 1586.0
278000 , 1203.5 , 2365.0
279000 , 1073.8 , 1702.0
280000 , 1088.2 , 1912.0
281000 , 1174.85 , 2345.0
282000 , 884.45 , 1584.0
283000 , 1009.25 , 1700.0
284000 , 1015.8 , 1861.0
285000 , 1128.3 , 2357.0
286000 , 922.0 , 1579.0
287000 , 1127.65 , 1840.0
288000 , 1337.2 , 1707.0
289000 , 827.7 , 1697.0
290000 , 1133.35 , 3046.0
291000 , 939.8 , 1707.0
292000 , 1190.85 , 1844.0
293000 , 1048.95 , 2360.0
294000 , 1158.55 , 2357.0
295000 , 945.5 , 1905.0
296000 , 1049.45 , 2369.0
297000 , 1008.5 , 1924.0
298000 , 805.5 , 2358.0
299000 , 955.55 , 2357.0
300000 , 926.85 , 1346.0
301000 , 1078.9 , 1930.0
302000 , 975.2 , 1925.0
303000 , 977.05 , 2346.0
304000 , 814.6 , 1586.0
305000 , 976.9 , 1712.0
306000 , 1067.2 , 2355.0
307000 , 1075.85 , 1907.0
308000 , 831.85 , 1561.0
309000 , 720.85 , 1347.0
310000 , 1028.3 , 1579.0
311000 , 1130.6 , 1698.0
312000 , 1111.7 , 1585.0
313000 , 1018.25 , 1681.0
314000 , 1212.6 , 2331.0
315000 , 959.6 , 1673.0
316000 , 1020.5 , 1563.0
317000 , 1102.2 , 2362.0
318000 , 1042.2 , 1892.0
319000 , 1095.85 , 2347.0
320000 , 941.3 , 2330.0
321000 , 1191.65 , 1692.0
322000 , 1244.05 , 1705.0
323000 , 961.65 , 1927.0
324000 , 1375.8 , 2343.0
325000 , 1248.8 , 1864.0
326000 , 1201.5 , 2357.0
327000 , 1092.85 , 1926.0
328000 , 1177.5 , 1862.0
329000 , 955.0 , 1698.0
330000 , 1197.0 , 2347.0
331000 , 1388.0 , 2363.0
332000 , 1090.7 , 1863.0
333000 , 1210.15 , 1862.0
334000 , 1221.35 , 1903.0
335000 , 1125.55 , 1922.0
336000 , 1053.95 , 1908.0
337000 , 1308.45 , 2358.0
338000 , 1165.95 , 1848.0
339000 , 897.2 , 1858.0
340000 , 1134.5 , 1702.0
341000 , 1206.15 , 2359.0
342000 , 1134.55 , 1855.0
343000 , 955.9 , 1860.0
344000 , 1346.0 , 3032.0
345000 , 1505.2 , 2358.0
346000 , 1478.1 , 2361.0
347000 , 1348.35 , 2354.0
348000 , 1513.7 , 1924.0
349000 , 1276.3 , 1927.0
350000 , 1352.3 , 2359.0
351000 , 1219.0 , 1867.0
352000 , 1222.7 , 1929.0
353000 , 1243.2 , 2351.0
354000 , 1302.5 , 2357.0
355000 , 1483.1 , 2361.0
356000 , 1309.2 , 1696.0
357000 , 1512.25 , 2359.0
358000 , 1351.45 , 2333.0
359000 , 1266.5 , 1914.0
360000 , 1107.1 , 2346.0
361000 , 1182.2 , 2356.0
362000 , 1392.05 , 3037.0
363000 , 1133.7 , 2367.0
364000 , 1121.4 , 1915.0
365000 , 1257.15 , 3031.0
366000 , 1173.5 , 1707.0
367000 , 1204.05 , 2362.0
368000 , 1228.9 , 2355.0
369000 , 1370.65 , 2360.0
370000 , 1235.5 , 2332.0
371000 , 1434.1 , 1861.0
372000 , 1457.85 , 2358.0
373000 , 1232.0 , 3043.0
374000 , 1224.1 , 2346.0
375000 , 1090.15 , 1587.0
376000 , 1380.55 , 3041.0
377000 , 1427.35 , 2358.0
378000 , 1397.15 , 2360.0
379000 , 1615.8 , 2358.0
380000 , 1615.7 , 3029.0
381000 , 1285.1 , 2628.0
382000 , 943.45 , 2354.0
383000 , 1180.75 , 1867.0
384000 , 1520.8 , 1928.0
385000 , 1074.35 , 2358.0
386000 , 1113.85 , 1855.0
387000 , 1250.7 , 1861.0
388000 , 1266.2 , 2355.0
